Complaint ID,Dataset ID,Case type,Actual/Expected category,GenAI category,Python category,GenAI dept,Python dept,GenAI urgency,Python urgency,GenAI escalation,Python escalation,Policy reference,Match/Mismatch,Verification status,Explanation of disagreement
CMP-00012,DS-0012,simple,Refund,not run (no provider credit),Refund,not run (no provider credit),Returns,not run (no provider credit),medium,not run (no provider credit),false,REF-POL-01,Match,python_only,GenAI not run (no provider credit); Python rule matrix is the verified result. Basis: rule RR-149.
CMP-00013,DS-0013,ambiguous,Technical Support,not run (no provider credit),Technical Support,not run (no provider credit),Technical Support,not run (no provider credit),low,not run (no provider credit),false,TEC-SOP-02,Match,python_only,GenAI not run (no provider credit); Python rule matrix is the verified result. Basis: rule RR-020.
CMP-00014,DS-0014,privacy,Privacy,not run (no provider credit),Privacy,not run (no provider credit),Compliance,not run (no provider credit),high,not run (no provider credit),true,PRI-POL-01,Match,python_only,"GenAI not run (no provider credit); Python rule matrix is the verified result. Basis: rule RR-009, escalation rules ESC-PRI-01."
CMP-00015,DS-0015,simple,Delivery,not run (no provider credit),Delivery,not run (no provider credit),Logistics,not run (no provider credit),high,not run (no provider credit),false,DEL-POL-04,Match,python_only,GenAI not run (no provider credit); Python rule matrix is the verified result. Basis: rule RR-129.
CMP-00016,DS-0016,simple,Billing,not run (no provider credit),Billing,not run (no provider credit),Billing,not run (no provider credit),high,not run (no provider credit),false,BIL-POL-02,Match,python_only,GenAI not run (no provider credit); Python rule matrix is the verified result. Basis: rule RR-003.
CMP-00017,DS-0017,ambiguous,Technical Support,not run (no provider credit),Technical Support,not run (no provider credit),Technical Support,not run (no provider credit),low,not run (no provider credit),false,TEC-SOP-02,Match,python_only,GenAI not run (no provider credit); Python rule matrix is the verified result. Basis: rule RR-020.
CMP-00018,DS-0018,simple,Delivery,not run (no provider credit),Delivery,not run (no provider credit),Logistics,not run (no provider credit),high,not run (no provider credit),false,DEL-POL-04,Match,python_only,GenAI not run (no provider credit); Python rule matrix is the verified result. Basis: rule RR-002.
CMP-00019,DS-0019,multi_issue,Account,not run (no provider credit),Account,not run (no provider credit),Account Security,not run (no provider credit),high,not run (no provider credit),true,SEC-POL-01,Match,python_only,"GenAI not run (no provider credit); Python rule matrix is the verified result. Basis: rule RR-010, escalation rules ESC-SEC-01."
CMP-00020,DS-0020,simple,Warranty,not run (no provider credit),Warranty,not run (no provider credit),Warranty,not run (no provider credit),medium,not run (no provider credit),false,WAR-POL-03,Match,python_only,GenAI not run (no provider credit); Python rule matrix is the verified result. Basis: rule RR-012.
CMP-00021,DS-0021,simple,Delivery,not run (no provider credit),Delivery,not run (no provider credit),Logistics,not run (no provider credit),medium,not run (no provider credit),false,DEL-POL-04,Match,python_only,GenAI not run (no provider credit); Python rule matrix is the verified result. Basis: rule RR-001.
CMP-00022,DS-0022,simple,Billing,not run (no provider credit),Billing,not run (no provider credit),Billing,not run (no provider credit),medium,not run (no provider credit),false,REF-POL-01,Match,python_only,GenAI not run (no provider credit); Python rule matrix is the verified result. Basis: rule RR-141.
CMP-00023,DS-0023,multi_issue,Billing,not run (no provider credit),Billing,not run (no provider credit),Billing,not run (no provider credit),high,not run (no provider credit),false,BIL-POL-02,Match,python_only,GenAI not run (no provider credit); Python rule matrix is the verified result. Basis: rule RR-003.
CMP-00024,DS-0024,low_value_privacy,Privacy,not run (no provider credit),Privacy,not run (no provider credit),Compliance,not run (no provider credit),high,not run (no provider credit),true,PRI-POL-01,Match,python_only,"GenAI not run (no provider credit); Python rule matrix is the verified result. Basis: rule RR-165, escalation rules ESC-PRI-02."
CMP-00025,DS-0025,simple,Refund,not run (no provider credit),Refund,not run (no provider credit),Returns,not run (no provider credit),low,not run (no provider credit),false,REF-POL-01,Match,python_only,GenAI not run (no provider credit); Python rule matrix is the verified result. Basis: rule RR-018.
CMP-00026,DS-0026,simple,Cancellation,not run (no provider credit),Cancellation,not run (no provider credit),Billing,not run (no provider credit),medium,not run (no provider credit),false,CAN-POL-01,Match,python_only,GenAI not run (no provider credit); Python rule matrix is the verified result. Basis: rule RR-194.
CMP-00027,DS-0027,prompt_injection,Billing,not run (no provider credit),Billing,not run (no provider credit),Billing,not run (no provider credit),high,not run (no provider credit),false,BIL-POL-02,Match,python_only,GenAI not run (no provider credit); Python rule matrix is the verified result. Basis: rule RR-003.
CMP-00028,DS-0028,contradictory_policy,Refund,not run (no provider credit),Refund,not run (no provider credit),Returns,not run (no provider credit),medium,not run (no provider credit),false,REF-POL-01,Match,python_only,GenAI not run (no provider credit); Python rule matrix is the verified result. Basis: rule RR-200.
CMP-00029,DS-0029,low_priority,Service Quality,not run (no provider credit),Service Quality,not run (no provider credit),Customer Relations,not run (no provider credit),low,not run (no provider credit),false,SLA-POL-01,Match,python_only,GenAI not run (no provider credit); Python rule matrix is the verified result. Basis: rule RR-015.
CMP-00030,DS-0030,low_priority,Product Defect,not run (no provider credit),Product Defect,not run (no provider credit),Warranty,not run (no provider credit),low,not run (no provider credit),false,WAR-POL-03,Match,python_only,GenAI not run (no provider credit); Python rule matrix is the verified result. Basis: rule RR-121.
CMP-00031,DS-0031,high_priority,Technical Support,not run (no provider credit),Technical Support,not run (no provider credit),Technical Support,not run (no provider credit),high,not run (no provider credit),true,TEC-SOP-02,Match,python_only,"GenAI not run (no provider credit); Python rule matrix is the verified result. Basis: rule RR-178, escalation rules ESC-FAIL-01."
CMP-00032,DS-0032,simple,Account,not run (no provider credit),Account,not run (no provider credit),Account Security,not run (no provider credit),medium,not run (no provider credit),false,SEC-POL-01,Match,python_only,GenAI not run (no provider credit); Python rule matrix is the verified result. Basis: rule RR-017.
CMP-00033,DS-0033,simple,Delivery,not run (no provider credit),Delivery,not run (no provider credit),Logistics,not run (no provider credit),medium,not run (no provider credit),false,DEL-POL-04,Match,python_only,GenAI not run (no provider credit); Python rule matrix is the verified result. Basis: rule RR-001.
CMP-00034,DS-0034,vip_minor,Product Defect,not run (no provider credit),Product Defect,not run (no provider credit),Warranty,not run (no provider credit),low,not run (no provider credit),false,WAR-POL-03,Match,python_only,GenAI not run (no provider credit); Python rule matrix is the verified result. Basis: rule RR-121.
CMP-00035,DS-0035,security,Account,not run (no provider credit),Account,not run (no provider credit),Account Security,not run (no provider credit),high,not run (no provider credit),true,SEC-POL-01,Match,python_only,"GenAI not run (no provider credit); Python rule matrix is the verified result. Basis: rule RR-170, escalation rules ESC-SEC-01, ESC-X-09."
CMP-00036,DS-0036,low_priority,Product Defect,not run (no provider credit),Product Defect,not run (no provider credit),Warranty,not run (no provider credit),low,not run (no provider credit),false,WAR-POL-03,Match,python_only,GenAI not run (no provider credit); Python rule matrix is the verified result. Basis: rule RR-121.
CMP-00037,DS-0037,incomplete,Refund,not run (no provider credit),Refund,not run (no provider credit),Returns,not run (no provider credit),medium,not run (no provider credit),false,REF-POL-01,Match,python_only,GenAI not run (no provider credit); Python rule matrix is the verified result. Basis: rule RR-005.
CMP-00038,DS-0038,emotional,Delivery,not run (no provider credit),Delivery,not run (no provider credit),Logistics,not run (no provider credit),medium,not run (no provider credit),false,DEL-POL-04,Match,python_only,GenAI not run (no provider credit); Python rule matrix is the verified result. Basis: rule RR-001.
CMP-00039,DS-0039,unsupported_refund,Delivery,not run (no provider credit),Delivery,not run (no provider credit),Logistics,not run (no provider credit),medium,not run (no provider credit),false,DEL-POL-04,Match,python_only,GenAI not run (no provider credit); Python rule matrix is the verified result. Basis: rule RR-001.
CMP-00040,DS-0040,simple,Delivery,not run (no provider credit),Delivery,not run (no provider credit),Logistics,not run (no provider credit),high,not run (no provider credit),false,DEL-POL-04,Match,python_only,GenAI not run (no provider credit); Python rule matrix is the verified result. Basis: rule RR-002.
CMP-00041,DS-0041,simple,Delivery,not run (no provider credit),Delivery,not run (no provider credit),Logistics,not run (no provider credit),medium,not run (no provider credit),false,DEL-POL-04,Match,python_only,GenAI not run (no provider credit); Python rule matrix is the verified result. Basis: rule RR-125.
CMP-00042,DS-0042,multi_issue,Service Quality,not run (no provider credit),Service Quality,not run (no provider credit),Customer Relations,not run (no provider credit),high,not run (no provider credit),true,CMP-POL-01,Match,python_only,GenAI not run (no provider credit); Python rule matrix is the verified result. Basis: rule RR-123.
CMP-00043,DS-0043,high_priority,Delivery,not run (no provider credit),Delivery,not run (no provider credit),Logistics,not run (no provider credit),high,not run (no provider credit),false,DEL-POL-04,Match,python_only,GenAI not run (no provider credit); Python rule matrix is the verified result. Basis: rule RR-002.
CMP-00044,DS-0044,simple,Product Defect,not run (no provider credit),Product Defect,not run (no provider credit),Warranty,not run (no provider credit),high,not run (no provider credit),false,WAR-POL-03,Match,python_only,GenAI not run (no provider credit); Python rule matrix is the verified result. Basis: rule RR-007.
CMP-00045,DS-0045,low_priority,Product Defect,not run (no provider credit),Product Defect,not run (no provider credit),Warranty,not run (no provider credit),low,not run (no provider credit),false,WAR-POL-03,Match,python_only,GenAI not run (no provider credit); Python rule matrix is the verified result. Basis: rule RR-121.
CMP-00046,DS-0046,policy_exception,Cancellation,not run (no provider credit),Cancellation,not run (no provider credit),Billing,not run (no provider credit),medium,not run (no provider credit),true,CAN-POL-01,Match,python_only,"GenAI not run (no provider credit); Python rule matrix is the verified result. Basis: rule RR-193, escalation rules ESC-POL-01."
CMP-00047,DS-0047,simple,Service Quality,not run (no provider credit),Service Quality,not run (no provider credit),Customer Relations,not run (no provider credit),low,not run (no provider credit),false,SLA-POL-01,Match,python_only,GenAI not run (no provider credit); Python rule matrix is the verified result. Basis: rule RR-187.
CMP-00048,DS-0048,simple,Product Defect,not run (no provider credit),Product Defect,not run (no provider credit),Warranty,not run (no provider credit),high,not run (no provider credit),false,WAR-POL-03,Match,python_only,GenAI not run (no provider credit); Python rule matrix is the verified result. Basis: rule RR-006.
CMP-00049,DS-0049,simple,Refund,not run (no provider credit),Refund,not run (no provider credit),Returns,not run (no provider credit),medium,not run (no provider credit),false,REF-POL-01,Match,python_only,GenAI not run (no provider credit); Python rule matrix is the verified result. Basis: rule RR-005.
CMP-00050,DS-0050,contradictory_policy,Delivery,not run (no provider credit),Delivery,not run (no provider credit),Logistics,not run (no provider credit),medium,not run (no provider credit),false,DEL-POL-04,Match,python_only,GenAI not run (no provider credit); Python rule matrix is the verified result. Basis: rule RR-001.
CMP-00051,DS-0051,security,Account,not run (no provider credit),Account,not run (no provider credit),Account Security,not run (no provider credit),high,not run (no provider credit),true,SEC-POL-01,Match,python_only,"GenAI not run (no provider credit); Python rule matrix is the verified result. Basis: rule RR-010, escalation rules ESC-SEC-01."
CMP-00052,DS-0052,safety,Safety,not run (no provider credit),Safety,not run (no provider credit),Safety,not run (no provider credit),critical,not run (no provider credit),true,SAF-POL-01,Match,python_only,"GenAI not run (no provider credit); Python rule matrix is the verified result. Basis: rule RR-163, escalation rules ESC-SAF-02."
CMP-00053,DS-0053,emotional,Product Defect,not run (no provider credit),Product Defect,not run (no provider credit),Warranty,not run (no provider credit),high,not run (no provider credit),false,WAR-POL-03,Match,python_only,GenAI not run (no provider credit); Python rule matrix is the verified result. Basis: rule RR-006.
CMP-00054,DS-0054,incomplete,Unclassified,not run (no provider credit),Unclassified,not run (no provider credit),Customer Relations,not run (no provider credit),medium,not run (no provider credit),false,,Match,python_only,GenAI not run (no provider credit); Python rule matrix is the verified result. Basis: rule none.
CMP-00055,DS-0055,simple,Service Quality,not run (no provider credit),Service Quality,not run (no provider credit),Customer Relations,not run (no provider credit),low,not run (no provider credit),false,SLA-POL-01,Match,python_only,GenAI not run (no provider credit); Python rule matrix is the verified result. Basis: rule RR-189.
CMP-00056,DS-0056,simple,Delivery,not run (no provider credit),Delivery,not run (no provider credit),Logistics,not run (no provider credit),high,not run (no provider credit),false,DEL-POL-04,Match,python_only,GenAI not run (no provider credit); Python rule matrix is the verified result. Basis: rule RR-016.
CMP-00057,DS-0057,simple,Staff Behavior,not run (no provider credit),Staff Behavior,not run (no provider credit),Customer Relations,not run (no provider credit),medium,not run (no provider credit),false,REL-SOP-01,Match,python_only,GenAI not run (no provider credit); Python rule matrix is the verified result. Basis: rule RR-013.
CMP-00058,DS-0058,emotional,Staff Behavior,not run (no provider credit),Staff Behavior,not run (no provider credit),Customer Relations,not run (no provider credit),medium,not run (no provider credit),false,REL-SOP-01,Match,python_only,GenAI not run (no provider credit); Python rule matrix is the verified result. Basis: rule RR-013.
CMP-00059,DS-0059,simple,Delivery,not run (no provider credit),Delivery,not run (no provider credit),Logistics,not run (no provider credit),medium,not run (no provider credit),false,DEL-POL-04,Match,python_only,GenAI not run (no provider credit); Python rule matrix is the verified result. Basis: rule RR-124.
CMP-00060,DS-0060,simple,Cancellation,not run (no provider credit),Cancellation,not run (no provider credit),Billing,not run (no provider credit),medium,not run (no provider credit),false,CAN-POL-01,Match,python_only,GenAI not run (no provider credit); Python rule matrix is the verified result. Basis: rule RR-014.
CMP-00061,DS-0061,security,Account,not run (no provider credit),Account,not run (no provider credit),Account Security,not run (no provider credit),high,not run (no provider credit),true,SEC-POL-01,Match,python_only,"GenAI not run (no provider credit); Python rule matrix is the verified result. Basis: rule RR-171, escalation rules ESC-SEC-01, ESC-SEC-02."
CMP-00062,DS-0062,policy_exception,Refund,not run (no provider credit),Refund,not run (no provider credit),Returns,not run (no provider credit),low,not run (no provider credit),true,REF-POL-01,Match,python_only,"GenAI not run (no provider credit); Python rule matrix is the verified result. Basis: rule RR-018, escalation rules ESC-POL-01."
CMP-00063,DS-0063,simple,Service Quality,not run (no provider credit),Service Quality,not run (no provider credit),Customer Relations,not run (no provider credit),low,not run (no provider credit),false,SLA-POL-01,Match,python_only,GenAI not run (no provider credit); Python rule matrix is the verified result. Basis: rule RR-015.
CMP-00064,DS-0064,simple,Product Defect,not run (no provider credit),Product Defect,not run (no provider credit),Warranty,not run (no provider credit),high,not run (no provider credit),false,WAR-POL-03,Match,python_only,GenAI not run (no provider credit); Python rule matrix is the verified result. Basis: rule RR-007.
CMP-00065,DS-0065,security,Account,not run (no provider credit),Account,not run (no provider credit),Account Security,not run (no provider credit),high,not run (no provider credit),true,SEC-POL-01,Match,python_only,"GenAI not run (no provider credit); Python rule matrix is the verified result. Basis: rule RR-010, escalation rules ESC-SEC-01."
CMP-00066,DS-0066,simple,Account,not run (no provider credit),Account,not run (no provider credit),Account Security,not run (no provider credit),medium,not run (no provider credit),false,SEC-POL-01,Match,python_only,GenAI not run (no provider credit); Python rule matrix is the verified result. Basis: rule RR-017.
CMP-00067,DS-0067,emotional,Delivery,not run (no provider credit),Delivery,not run (no provider credit),Logistics,not run (no provider credit),medium,not run (no provider credit),false,DEL-POL-04,Match,python_only,GenAI not run (no provider credit); Python rule matrix is the verified result. Basis: rule RR-001.
CMP-00068,DS-0068,multi_issue,Privacy,not run (no provider credit),Privacy,not run (no provider credit),Compliance,not run (no provider credit),high,not run (no provider credit),true,PRI-POL-01,Match,python_only,"GenAI not run (no provider credit); Python rule matrix is the verified result. Basis: rule RR-009, escalation rules ESC-PRI-02."
CMP-00069,DS-0069,prompt_injection,Delivery,not run (no provider credit),Delivery,not run (no provider credit),Logistics,not run (no provider credit),medium,not run (no provider credit),false,DEL-POL-04,Match,python_only,GenAI not run (no provider credit); Python rule matrix is the verified result. Basis: rule RR-001.
CMP-00070,DS-0070,high_priority,Billing,not run (no provider credit),Billing,not run (no provider credit),Billing,not run (no provider credit),high,not run (no provider credit),false,BIL-POL-02,Match,python_only,GenAI not run (no provider credit); Python rule matrix is the verified result. Basis: rule RR-003.
CMP-00071,DS-0071,policy_exception,Delivery,not run (no provider credit),Delivery,not run (no provider credit),Logistics,not run (no provider credit),medium,not run (no provider credit),true,DEL-POL-04,Match,python_only,"GenAI not run (no provider credit); Python rule matrix is the verified result. Basis: rule RR-001, escalation rules ESC-POL-01."
CMP-00072,DS-0072,multi_issue,Account,not run (no provider credit),Account,not run (no provider credit),Account Security,not run (no provider credit),high,not run (no provider credit),true,SEC-POL-01,Match,python_only,"GenAI not run (no provider credit); Python rule matrix is the verified result. Basis: rule RR-010, escalation rules ESC-SEC-01."
CMP-00073,DS-0073,contradictory_policy,Billing,not run (no provider credit),Billing,not run (no provider credit),Billing,not run (no provider credit),high,not run (no provider credit),false,BIL-POL-02,Match,python_only,GenAI not run (no provider credit); Python rule matrix is the verified result. Basis: rule RR-003.
CMP-00074,DS-0074,multi_issue,Refund,not run (no provider credit),Refund,not run (no provider credit),Returns,not run (no provider credit),medium,not run (no provider credit),false,REF-POL-01,Match,python_only,GenAI not run (no provider credit); Python rule matrix is the verified result. Basis: rule RR-005.
CMP-00075,DS-0075,simple,Account,not run (no provider credit),Account,not run (no provider credit),Account Security,not run (no provider credit),medium,not run (no provider credit),false,SEC-POL-01,Match,python_only,GenAI not run (no provider credit); Python rule matrix is the verified result. Basis: rule RR-017.
CMP-00076,DS-0076,emotional,Product Defect,not run (no provider credit),Product Defect,not run (no provider credit),Warranty,not run (no provider credit),high,not run (no provider credit),false,WAR-POL-03,Match,python_only,GenAI not run (no provider credit); Python rule matrix is the verified result. Basis: rule RR-006.
CMP-00077,DS-0077,simple,Refund,not run (no provider credit),Refund,not run (no provider credit),Returns,not run (no provider credit),medium,not run (no provider credit),false,REF-POL-01,Match,python_only,GenAI not run (no provider credit); Python rule matrix is the verified result. Basis: rule RR-005.
CMP-00078,DS-0078,policy_exception,Delivery,not run (no provider credit),Delivery,not run (no provider credit),Logistics,not run (no provider credit),medium,not run (no provider credit),true,DEL-POL-04,Match,python_only,"GenAI not run (no provider credit); Python rule matrix is the verified result. Basis: rule RR-001, escalation rules ESC-POL-01."
CMP-00079,DS-0079,near_duplicate,Refund,not run (no provider credit),Refund,not run (no provider credit),Returns,not run (no provider credit),low,not run (no provider credit),false,REF-POL-01,Match,python_only,"GenAI not run (no provider credit); Python rule matrix is the verified result. Basis: rule RR-018, repeat of CMP-00025."
CMP-00080,DS-0080,contradictory_policy,Product Defect,not run (no provider credit),Product Defect,not run (no provider credit),Warranty,not run (no provider credit),high,not run (no provider credit),true,RPL-POL-01,Match,python_only,"GenAI not run (no provider credit); Python rule matrix is the verified result. Basis: rule RR-202, escalation rules ESC-HW-01."
CMP-00081,DS-0081,calm_critical,Account,not run (no provider credit),Account,not run (no provider credit),Account Security,not run (no provider credit),high,not run (no provider credit),true,SEC-POL-01,Match,python_only,"GenAI not run (no provider credit); Python rule matrix is the verified result. Basis: rule RR-010, escalation rules ESC-SEC-01."
CMP-00082,DS-0082,low_priority,Refund,not run (no provider credit),Refund,not run (no provider credit),Returns,not run (no provider credit),low,not run (no provider credit),false,REF-POL-01,Match,python_only,GenAI not run (no provider credit); Python rule matrix is the verified result. Basis: rule RR-018.
CMP-00083,DS-0083,simple,Warranty,not run (no provider credit),Warranty,not run (no provider credit),Warranty,not run (no provider credit),medium,not run (no provider credit),false,WAR-POL-03,Match,python_only,GenAI not run (no provider credit); Python rule matrix is the verified result. Basis: rule RR-012.
CMP-00084,DS-0084,incomplete,Unclassified,not run (no provider credit),Unclassified,not run (no provider credit),Customer Relations,not run (no provider credit),medium,not run (no provider credit),false,,Match,python_only,GenAI not run (no provider credit); Python rule matrix is the verified result. Basis: rule none.
CMP-00085,DS-0085,high_priority,Billing,not run (no provider credit),Billing,not run (no provider credit),Billing,not run (no provider credit),high,not run (no provider credit),false,BIL-POL-02,Match,python_only,GenAI not run (no provider credit); Python rule matrix is the verified result. Basis: rule RR-003.
CMP-00086,DS-0086,privacy,Privacy,not run (no provider credit),Privacy,not run (no provider credit),Compliance,not run (no provider credit),high,not run (no provider credit),true,PRI-POL-01,Match,python_only,"GenAI not run (no provider credit); Python rule matrix is the verified result. Basis: rule RR-022, escalation rules ESC-X-08."
CMP-00087,DS-0087,simple,Product Defect,not run (no provider credit),Product Defect,not run (no provider credit),Warranty,not run (no provider credit),high,not run (no provider credit),false,WAR-POL-03,Match,python_only,GenAI not run (no provider credit); Python rule matrix is the verified result. Basis: rule RR-007.
CMP-00088,DS-0088,simple,Refund,not run (no provider credit),Refund,not run (no provider credit),Returns,not run (no provider credit),low,not run (no provider credit),false,REF-POL-01,Match,python_only,GenAI not run (no provider credit); Python rule matrix is the verified result. Basis: rule RR-018.
CMP-00089,DS-0089,safety,Safety,not run (no provider credit),Safety,not run (no provider credit),Safety,not run (no provider credit),critical,not run (no provider credit),true,SAF-POL-01,Match,python_only,"GenAI not run (no provider credit); Python rule matrix is the verified result. Basis: rule RR-161, escalation rules ESC-SAF-01, ESC-SAF-05."
CMP-00090,DS-0090,simple,Refund,not run (no provider credit),Refund,not run (no provider credit),Returns,not run (no provider credit),low,not run (no provider credit),false,REF-POL-01,Match,python_only,GenAI not run (no provider credit); Python rule matrix is the verified result. Basis: rule RR-018.
CMP-00091,DS-0091,simple,Technical Support,not run (no provider credit),Technical Support,not run (no provider credit),Technical Support,not run (no provider credit),medium,not run (no provider credit),false,TEC-SOP-02,Match,python_only,GenAI not run (no provider credit); Python rule matrix is the verified result. Basis: rule RR-011.
CMP-00092,DS-0092,ambiguous,Delivery,not run (no provider credit),Delivery,not run (no provider credit),Logistics,not run (no provider credit),medium,not run (no provider credit),false,DEL-POL-04,Match,python_only,GenAI not run (no provider credit); Python rule matrix is the verified result. Basis: rule RR-001.
CMP-00093,DS-0093,calm_critical,Account,not run (no provider credit),Account,not run (no provider credit),Account Security,not run (no provider credit),high,not run (no provider credit),true,SEC-POL-01,Match,python_only,"GenAI not run (no provider credit); Python rule matrix is the verified result. Basis: rule RR-010, escalation rules ESC-SEC-01."
CMP-00094,DS-0094,high_value,Billing,not run (no provider credit),Billing,not run (no provider credit),Billing,not run (no provider credit),high,not run (no provider credit),true,BIL-POL-02,Match,python_only,"GenAI not run (no provider credit); Python rule matrix is the verified result. Basis: rule RR-004, escalation rules ESC-HIGH-VALUE."
CMP-00095,DS-0095,simple,Service Quality,not run (no provider credit),Service Quality,not run (no provider credit),Customer Relations,not run (no provider credit),low,not run (no provider credit),false,SLA-POL-01,Match,python_only,GenAI not run (no provider credit); Python rule matrix is the verified result. Basis: rule RR-015.
CMP-00096,DS-0096,multi_issue,Delivery,not run (no provider credit),Delivery,not run (no provider credit),Logistics,not run (no provider credit),high,not run (no provider credit),false,DEL-POL-04,Match,python_only,GenAI not run (no provider credit); Python rule matrix is the verified result. Basis: rule RR-002.
CMP-00097,DS-0097,emotional,Billing,not run (no provider credit),Billing,not run (no provider credit),Billing,not run (no provider credit),high,not run (no provider credit),false,BIL-POL-02,Match,python_only,GenAI not run (no provider credit); Python rule matrix is the verified result. Basis: rule RR-003.
CMP-00098,DS-0098,incomplete,Unclassified,not run (no provider credit),Unclassified,not run (no provider credit),Customer Relations,not run (no provider credit),medium,not run (no provider credit),false,,Match,python_only,GenAI not run (no provider credit); Python rule matrix is the verified result. Basis: rule none.
CMP-00099,DS-0099,legal_threat,Billing,not run (no provider credit),Billing,not run (no provider credit),Billing,not run (no provider credit),high,not run (no provider credit),true,BIL-POL-02,Match,python_only,"GenAI not run (no provider credit); Python rule matrix is the verified result. Basis: rule RR-003, escalation rules ESC-LEG-01, ESC-X-14."
CMP-00100,DS-0100,simple,Product Defect,not run (no provider credit),Product Defect,not run (no provider credit),Warranty,not run (no provider credit),medium,not run (no provider credit),false,WAR-POL-03,Match,python_only,GenAI not run (no provider credit); Python rule matrix is the verified result. Basis: rule RR-154.
CMP-00101,DS-0101,calm_critical,Safety,not run (no provider credit),Safety,not run (no provider credit),Safety,not run (no provider credit),critical,not run (no provider credit),true,SAF-POL-01,Match,python_only,"GenAI not run (no provider credit); Python rule matrix is the verified result. Basis: rule RR-008, escalation rules ESC-SAF-01."
CMP-00102,DS-0102,calm_critical,Account,not run (no provider credit),Account,not run (no provider credit),Account Security,not run (no provider credit),high,not run (no provider credit),true,SEC-POL-01,Match,python_only,"GenAI not run (no provider credit); Python rule matrix is the verified result. Basis: rule RR-010, escalation rules ESC-SEC-01."
CMP-00103,DS-0103,simple,Billing,not run (no provider credit),Billing,not run (no provider credit),Billing,not run (no provider credit),high,not run (no provider credit),false,BIL-POL-02,Match,python_only,GenAI not run (no provider credit); Python rule matrix is the verified result. Basis: rule RR-003.
CMP-00104,DS-0104,prompt_injection,Service Quality,not run (no provider credit),Service Quality,not run (no provider credit),Customer Relations,not run (no provider credit),low,not run (no provider credit),false,SLA-POL-01,Match,python_only,GenAI not run (no provider credit); Python rule matrix is the verified result. Basis: rule RR-015.
CMP-00105,DS-0105,simple,Product Defect,not run (no provider credit),Product Defect,not run (no provider credit),Warranty,not run (no provider credit),medium,not run (no provider credit),false,WAR-POL-03,Match,python_only,GenAI not run (no provider credit); Python rule matrix is the verified result. Basis: rule RR-154.
