rule_code,category_code,subcategory_code,keywords,department_code,supporting_department_codes,urgency,priority,policy_code,policy_section,escalation_required,escalation_level,required_actions,prohibited_actions,follow_up_required,refund_eligible,replacement_eligible,compensation_permitted,notes
RR-174,ACCOUNT,LOCK,password reset|reset link|reset email|forgot password,SEC,,medium,P2,SEC-POL-01,2.1,false,no_escalation,Guide the customer through self-service reset|Check the registered email for bounces,Set a password for the customer,true,false,false,false,Self-service reset not working.
RR-175,ACCOUNT,LOCK,account suspended|account disabled|account blocked|deactivated,SEC,,medium,P2,SEC-POL-01,2.2,false,no_escalation,Check the suspension reason|Verify identity before reactivation,Unlock without verification,true,false,false,false,Account suspended or disabled.
RR-176,TECH,APP,payment gateway|payment failed|payment declined|transaction failed|timeout,TEC,BIL,medium,P2,TEC-SOP-02,1.3,false,no_escalation,Capture error code and time of attempt|Check gateway status with Billing,Ask the customer to send card details by chat,true,false,false,false,Payment step failing.
RR-177,TECH,APP,website down|page not loading|blank screen|site not loading,TEC,,medium,P2,TEC-SOP-02,1.3,false,no_escalation,Capture browser or app version and device model|Check platform status,Promise a custom app build,true,false,false,false,Website or app page not loading.
RR-178,TECH,APP,complete outage|cannot use product at all|service down|app down,TEC,,high,P1,TEC-SOP-02,2,false,no_escalation,Confirm the outage scope|Escalate to the Technical Support manager,Promise a fix time not confirmed by engineering,true,false,false,false,Severe failure; the escalation rules add department-manager review.
RR-179,TECH,APP,no notifications|notifications not working|push notification,TEC,,low,P3,TEC-SOP-02,1.3,false,no_escalation,Check notification permissions and app version,Promise a custom app build,true,false,false,false,Notifications missing.
RR-180,TECH,PAIR,wifi|wi-fi|keeps disconnecting|connection drops|smart home,TEC,,low,P3,TEC-SOP-02,4.0,false,no_escalation,Walk through pairing SOP|Check router band and distance,Send a free replacement before troubleshooting,true,false,false,false,Wireless connection unstable.
RR-181,TECH,PAIR,firmware update|firmware|update failed|software update,TEC,,medium,P2,TEC-SOP-02,4.0,false,no_escalation,Capture firmware version|Walk through the update steps in the pairing SOP,Send a free replacement before troubleshooting,true,false,false,false,Firmware update problem.
RR-182,TECH,PAIR,not syncing|sync|companion app|step count,TEC,,low,P3,TEC-SOP-02,4.0,false,no_escalation,Walk through pairing SOP|Reinstall the companion app,Send a free replacement before troubleshooting,true,false,false,false,Wearable data not syncing.
RR-183,WARRANTY,DENIED,serial|serial number|invoice missing|no receipt|proof of purchase,WAR,,medium,P2,WAR-POL-03,3,false,no_escalation,Look up the order to confirm purchase date|Collect the serial number from the device or box,Override expired warranty,true,false,false,false,Claim blocked by missing serial or receipt.
RR-184,WARRANTY,DENIED,water damage|liquid damage|physical damage|void warranty,WAR,,medium,P2,WAR-POL-03,4,false,no_escalation,Share the service-centre assessment|Offer a paid repair quote,Override expired warranty,true,false,false,false,Exclusion applied (water or physical damage).
RR-185,WARRANTY,DENIED,repair status|repair delay|service centre|service center,WAR,,medium,P2,WAR-POL-03,3,false,no_escalation,Check the service-centre job status|Give the 5 business day assessment timeline,Promise a replacement before assessment,true,false,,false,Service-centre repair delay.
RR-186,WARRANTY,DENIED,two years|24 months|warranty period|extended warranty,WAR,,medium,P2,WAR-POL-03,1,false,no_escalation,Explain the 12-month warranty from delivery,Honour withdrawn 24-month leaflet terms,true,false,false,false,Dispute about warranty length.
RR-187,SERVICE,WAIT,callback|promised a call|nobody called|never called back,REL,,low,P3,SLA-POL-01,2.1,false,no_escalation,Acknowledge the missed callback|Book a callback slot the team can meet,Offer cash compensation automatically,true,false,false,false,Promised callback missed.
RR-188,SERVICE,WAIT,ticket closed|closed without|closed my complaint|marked as resolved,REL,,medium,P2,CMP-POL-01,1,false,no_escalation,Reopen the complaint|Assign a named owner and next step,Close without contacting the customer,true,false,false,false,Complaint closed without resolution.
RR-189,SERVICE,WAIT,hold music|waiting for an agent|chat queue|helpline,REL,,low,P3,SLA-POL-01,1,false,no_escalation,Acknowledge delay|Provide realistic next update,Offer cash compensation automatically,true,false,false,false,Queue waiting time.
RR-190,STAFF,RUDE,abusive|threatened|threatening|shouted|harassed,REL,CMP,high,P1,REL-SOP-01,2.0,false,no_escalation,Apologize|Open a conduct investigation,Terminate staff without investigation,true,false,false,false,Abusive or threatening staff; Compliance supports.
RR-191,STAFF,RUDE,misinformed|wrong information|misleading|lied,REL,,medium,P2,REL-SOP-01,1,false,no_escalation,Correct the information in writing|Coach named agent if identified,Terminate staff without investigation,true,false,false,false,Agent gave wrong information.
RR-192,STAFF,RUDE,discrimination|discriminate|racist|sexist,REL,CMP,high,P1,REL-SOP-01,2.0,false,no_escalation,Apologize|Open a conduct investigation with Compliance,Terminate staff without investigation|Admit legal liability,true,false,false,false,Discriminatory treatment.
RR-193,CANCEL,HARD,cancel my order|cancel the order|order cancellation|cancellation request,BIL,,medium,P2,CAN-POL-01,2,false,no_escalation,Cancel if the order has not been dispatched|Start a return under REF-POL-01 if already dispatched,Cancel a dispatched order without a return,true,,,false,Physical order cancellation.
RR-194,CANCEL,HARD,bundle|add-on|bundled plan,BIL,,medium,P2,CAN-POL-01,1.1,false,no_escalation,Check which plan came with the bundle|Cancel the plan separately if allowed,Cancel fulfilled digital content outside policy,true,,,false,Plan bundled with a device.
RR-195,CANCEL,HARD,cooling off|cooling-off|digital content|used repair visit,BIL,,medium,P2,CAN-POL-01,1.2,false,no_escalation,Confirm the 14-day cooling-off window|Check whether the digital content was used,Refund fulfilled digital content unless a billing error is proven,true,,,false,Cooling-off and fulfilled digital content.
RR-196,DELIVERY,LOST,left with neighbour|left with neighbor|left at the door|parcel locker|left outside,LOG,,medium,P2,DEL-POL-04,6.2,false,no_escalation,Ask the courier for proof of delivery location|Open carrier investigation if the parcel is not found,Refund before the carrier investigation closes,true,true,true,false,Parcel left somewhere other than with the customer.
RR-197,BILLING,WRONG,cash on delivery|cod|extra cash|asked for extra money,BIL,LOG,medium,P2,BIL-POL-02,3.4,false,no_escalation,Compare the COD amount collected with the invoice|Report the courier to Logistics if extra cash was demanded,Reimburse cash without a receipt or courier confirmation,true,,,false,Cash-on-delivery amount dispute.
RR-198,BILLING,WRONG,purchase order|corporate invoice|quoted price|quote does not match,BIL,,high,P1,BIL-POL-02,5,false,no_escalation,"Verify the quote and purchase order|Escalate disputes of PKR 200,000 or more to the Billing manager",Agree a settlement without the Billing manager,true,,,false,Business / bulk order dispute; high-value escalation comes from the escalation rules.
RR-199,BILLING,WRONG,unauthorised charge|unauthorized charge|unauthorised transaction|unauthorized transaction|fraudulent charge,BIL,SEC,high,P1,BIL-POL-02,3.2,true,specialist_team,Check whether the account was accessed by someone else|Flag the transaction to Account Security and Compliance,Tell the customer the charge is valid before investigation,true,,,false,Card charge the customer did not make; treated as possible fraud.
RR-200,REFUND,DELAYREF,store credit|gift card refund|voucher instead of refund,RET,,medium,P2,REF-POL-01,4.1,false,no_escalation,Confirm that refunds go to the original payment method,Force store credit instead of a refund|Cite the draft store-credit rule,true,,,false,"Store-credit refunds are a draft rule, not in force."
RR-202,DEFECT,DAMAGED,second replacement|replacement also|replacement is faulty|same fault,WAR,,high,P1,RPL-POL-01,2,false,no_escalation,Check replacement history for the order|Get supervisor approval for a second replacement,Issue a second replacement without supervisor approval,true,,,false,Repeated hardware failure on the same order.
RR-203,DELIVERY,WRONGITEM,used item|refurbished|not genuine|fake product|counterfeit,LOG,WAR,high,P1,DEL-POL-04,7.0,false,no_escalation,Request photos of seals and serial|Arrange reverse pickup and ship a sealed new unit,Tell the customer the item is genuine before inspection,true,,true,false,"Used, refurbished or non-genuine unit delivered instead of new."
RR-204,SAFETY,OVERHEAT,counterfeit charger|overvoltage|voltage surge,SAF,,critical,P0,SAF-POL-01,1.1,true,critical_management,Instruct customer to stop using the charger|Escalate to Safety,Tell customer to keep using the device,true,,true,false,Counterfeit charger or overvoltage risk.
RR-205,PRIVACY,LEAK,card number exposed|card number visible|cvv|full card details,CMP,BIL,high,P0,PRI-POL-01,2.1,true,compliance_review,Start privacy incident record|Advise the customer to contact their bank,Ask the customer to repeat card details in chat,true,false,false,false,Payment card data exposed.
